Tytuł,Reżyser,Aktorzy,Rok wydania,Gatunek,Średnia Ocena,Liczba Ocen
Incepcja,Christopher Nolan,Leonardo DiCaprio; Joseph Gordon-Levitt; Ellen Page,2010,Sci-Fi,0,0
Matrix,Lana Wachowski; Lilly Wachowski,Keanu Reeves; Laurence Fishburne; Carrie-Anne Moss,1999,Sci-Fi,0,0
Gladiator,Ridley Scott,Russell Crowe; Joaquin Phoenix; Connie Nielsen,2000,Dramat historyczny,0,0
Ojciec chrzestny,Francis Ford Coppola,Marlon Brando; Al Pacino; James Caan,1972,Gangsterski,0,0
Pulp Fiction,Quentin Tarantino,John Travolta; Uma Thurman; Samuel L. Jackson,1994,Kryminał,0,0
Forrest Gump,Robert Zemeckis,Tom Hanks; Robin Wright; Gary Sinise,1994,Dramat,0,0
Skazani na Shawshank,Frank Darabont,Tim Robbins; Morgan Freeman; Bob Gunton,1994,Dramat,0,0
Fight Club,David Fincher,Brad Pitt; Edward Norton; Helena Bonham Carter,1999,Dramat,0,0
Titanic,James Cameron,Leonardo DiCaprio; Kate Winslet; Billy Zane,1997,Romans,0,0
Interstellar,Christopher Nolan,Matthew McConaughey; Anne Hathaway; Jessica Chastain,2014,Sci-Fi,0,0
Park Jurajski,Steven Spielberg,Sam Neill; Laura Dern; Jeff Goldblum,1993,Przygodowy,0,0
Gwiezdne wojny: Nowa nadzieja,George Lucas,Mark Hamill; Harrison Ford; Carrie Fisher,1977,Fantasy,0,0
Władca Pierścieni: Drużyna Pierścienia,Peter Jackson,Elijah Wood; Ian McKellen; Viggo Mortensen,2001,Fantasy,0,0
Avengers: Koniec gry,Anthony Russo; Joe Russo,Robert Downey Jr.; Chris Evans; Scarlett Johansson,2019,Akcja,0,0
Joker,Todd Phillips,Joaquin Phoenix; Robert De Niro; Zazie Beetz,2019,Dramat,0,0
Braveheart,Mel Gibson,Mel Gibson; Sophie Marceau; Patrick McGoohan,1995,Historyczny,0,0
La La Land,Damien Chazelle,Ryan Gosling; Emma Stone; John Legend,2016,Musical,0,0
Milczenie owiec,Jonathan Demme,Jodie Foster; Anthony Hopkins; Scott Glenn,1991,Thriller,0,0
Szeregowiec Ryan,Steven Spielberg,Tom Hanks; Matt Damon; Tom Sizemore,1998,Wojenny,0,0
Blade Runner,Ridley Scott,Harrison Ford; Rutger Hauer; Sean Young,1982,Sci-Fi,0,0
Whiplash,Damien Chazelle,Miles Teller; J.K. Simmons; Paul Reiser,2014,Dramat,0,0
Casablanca,Michael Curtiz,Humphrey Bogart; Ingrid Bergman; Paul Henreid,1942,Romans,0,0
Amelia,Jean-Pierre Jeunet,Audrey Tautou; Mathieu Kassovitz; Rufus,2001,Komedia romantyczna,0,0
Rocky,John G. Avildsen,Sylvester Stallone; Talia Shire; Burt Young,1976,Sportowy,0,0
Czarny Rycerz,Christopher Nolan,Christian Bale; Heath Ledger; Aaron Eckhart,2008,Akcja,0,0
